[0, 0.0]
[1, 0.0]
[2, 0.0]
[3, 0.0]
[4, 0.0]
[5, 0.0]
[6, 0.0]
[7, 0.0]
[8, 0.0]
[9, 0.0]
[10, 0.0]
[11, 0.0]
[12, 0.0005018711090087891]
[13, 0.0]
[14, 0.0]
[15, 0.0]
[16, 0.0]
[17, 0.0]
[18, 0.0]
[19, 0.0]
[20, 0.0]
[21, 0.0]
[22, 0.0]
[23, 0.0]
[24, 0.0]
[25, 0.0004978179931640625]
[26, 0.0005004405975341797]
[27, 0.0]
[28, 0.0]
[29, 0.000499725341796875]
[30, 0.0]
[31, 0.0]
[32, 0.0004820823669433594]
[33, 0.0004999637603759766]
[34, 0.0]
[35, 0.0]
[36, 0.0005011558532714844]
[37, 0.0]
[38, 0.0]
[39, 0.0004994869232177734]
[40, 0.0005004405975341797]
[41, 0.0]
[42, 0.0]
[43, 0.000499725341796875]
[44, 0.000499725341796875]
[45, 0.0005011558532714844]
[46, 0.0004999637603759766]
[47, 0.0004832744598388672]
[48, 0.000499725341796875]
[49, 0.000499725341796875]
[50, 0.0005006790161132812]
[51, 0.0004999637603759766]
[52, 0.0005011558532714844]
[53, 0.0005002021789550781]
[54, 0.0004990100860595703]
[55, 0.0]
[56, 0.0]
[57, 0.0005009174346923828]
[58, 0.001501321792602539]
[59, 0.0025017261505126953]
[60, 0.0005002021789550781]
[61, 0.000499725341796875]
[62, 0.0005002021789550781]
[63, 0.0004999637603759766]
[64, 0.0009818077087402344]
[65, 0.0005190372467041016]
[66, 0.0005004405975341797]
[67, 0.0004999637603759766]
[68, 0.001001596450805664]
[69, 0.0004944801330566406]
[70, 0.0004818439483642578]
[71, 0.0005006790161132812]
[72, 0.0004994869232177734]
[73, 0.0010025501251220703]
[74, 0.0010001659393310547]
[75, 0.0010006427764892578]
[76, 0.0010023117065429688]
[77, 0.00099945068359375]
[78, 0.0010144710540771484]
[79, 0.0010001659393310547]
[80, 0.0010006427764892578]
[81, 0.0010013580322265625]
[82, 0.0009860992431640625]
[83, 0.0010004043579101562]
[84, 0.0010006427764892578]
[85, 0.0010004043579101562]
[86, 0.0009837150573730469]
[87, 0.001001596450805664]
[88, 0.000499725341796875]
[89, 0.0009999275207519531]
[90, 0.0009982585906982422]
[91, 0.001501321792602539]
[92, 0.001001119613647461]
[93, 0.001500844955444336]
[94, 0.0015010833740234375]
[95, 0.0010006427764892578]
[96, 0.0015010833740234375]
[97, 0.001500844955444336]
[98, 0.0009996891021728516]
[99, 0.0010004043579101562]
[100, 0.0015006065368652344]
[101, 0.0015017986297607422]
[102, 0.0014998912811279297]
[103, 0.0025026798248291016]
[104, 0.0025022029876708984]
[105, 0.0030019283294677734]
[106, 0.003002166748046875]
[107, 0.0025010108947753906]
[108, 0.0030024051666259766]
[109, 0.0030019283294677734]
[110, 0.003001689910888672]
[111, 0.003002166748046875]
[112, 0.003001689910888672]
[113, 0.0035028457641601562]
[114, 0.0030024051666259766]
