[0, 4.5299530029296875e-06]
[1, 7.867813110351562e-06]
[2, 7.3909759521484375e-06]
[3, 8.106231689453125e-06]
[4, 9.5367431640625e-06]
[5, 1.0728836059570312e-05]
[6, 1.2636184692382812e-05]
[7, 1.430511474609375e-05]
[8, 1.52587890625e-05]
[9, 1.5974044799804688e-05]
[10, 1.9073486328125e-05]
[11, 2.1457672119140625e-05]
[12, 2.3126602172851562e-05]
[13, 2.5272369384765625e-05]
[14, 2.6464462280273438e-05]
[15, 2.0265579223632812e-05]
[16, 3.4332275390625e-05]
[17, 3.4809112548828125e-05]
[18, 3.0517578125e-05]
[19, 3.8623809814453125e-05]
[20, 4.1961669921875e-05]
[21, 4.8160552978515625e-05]
[22, 4.2438507080078125e-05]
[23, 4.7206878662109375e-05]
[24, 5.4836273193359375e-05]
[25, 3.218650817871094e-05]
[26, 4.935264587402344e-05]
[27, 6.341934204101562e-05]
[28, 6.794929504394531e-05]
[29, 3.2901763916015625e-05]
[30, 5.841255187988281e-05]
[31, 3.8623809814453125e-05]
[32, 3.266334533691406e-05]
[33, 4.673004150390625e-05]
[34, 7.343292236328125e-05]
[35, 9.250640869140625e-05]
[36, 7.367134094238281e-05]
[37, 7.677078247070312e-05]
[38, 9.846687316894531e-05]
[39, 0.00011205673217773438]
[40, 0.00011110305786132812]
[41, 0.0001201629638671875]
[42, 0.00010609626770019531]
[43, 0.00012350082397460938]
[44, 0.00011420249938964844]
[45, 0.00015473365783691406]
[46, 0.00012159347534179688]
[47, 0.000133514404296875]
[48, 0.00014162063598632812]
[49, 0.00013303756713867188]
[50, 0.00015854835510253906]
[51, 0.00015282630920410156]
[52, 0.00013327598571777344]
[53, 0.0001933574676513672]
[54, 0.00016021728515625]
[55, 0.00016117095947265625]
[56, 0.00018548965454101562]
[57, 0.00015854835510253906]
[58, 0.0001857280731201172]
[59, 0.0001766681671142578]
[60, 0.00014066696166992188]
[61, 0.00020551681518554688]
[62, 0.00018930435180664062]
[63, 0.00019860267639160156]
[64, 0.00020647048950195312]
[65, 0.0001685619354248047]
[66, 0.00011277198791503906]
[67, 0.00012135505676269531]
[68, 0.00011539459228515625]
[69, 0.00012421607971191406]
[70, 0.00012111663818359375]
[71, 0.00011706352233886719]
[72, 0.00013136863708496094]
[73, 0.0001373291015625]
[74, 0.00012922286987304688]
[75, 0.0001442432403564453]
[76, 0.000148773193359375]
[77, 0.00014781951904296875]
[78, 0.00014328956604003906]
[79, 0.00014638900756835938]
[80, 0.00016117095947265625]
[81, 0.00016307830810546875]
[82, 0.00017976760864257812]
[83, 0.00014972686767578125]
[84, 0.00015115737915039062]
[85, 0.0001704692840576172]
[86, 0.00016307830810546875]
[87, 0.00016379356384277344]
