[0, 2.86102294921875e-06]
[1, 2.6226043701171875e-06]
[2, 3.0994415283203125e-06]
[3, 3.337860107421875e-06]
[4, 3.0994415283203125e-06]
[5, 3.5762786865234375e-06]
[6, 3.814697265625e-06]
[7, 4.76837158203125e-06]
[8, 5.0067901611328125e-06]
[9, 5.4836273193359375e-06]
[10, 6.67572021484375e-06]
[11, 8.106231689453125e-06]
[12, 9.298324584960938e-06]
[13, 1.049041748046875e-05]
[14, 1.1444091796875e-05]
[15, 1.239776611328125e-05]
[16, 1.7404556274414062e-05]
[17, 1.52587890625e-05]
[18, 1.4543533325195312e-05]
[19, 1.7642974853515625e-05]
[20, 2.193450927734375e-05]
[21, 2.3603439331054688e-05]
[22, 2.288818359375e-05]
[23, 2.6464462280273438e-05]
[24, 3.0279159545898438e-05]
[25, 2.1457672119140625e-05]
[26, 3.0517578125e-05]
[27, 3.4809112548828125e-05]
[28, 3.8623809814453125e-05]
[29, 3.62396240234375e-05]
[30, 3.814697265625e-05]
[31, 4.2438507080078125e-05]
[32, 3.4809112548828125e-05]
[33, 5.53131103515625e-05]
[34, 4.6253204345703125e-05]
[35, 5.650520324707031e-05]
[36, 4.935264587402344e-05]
[37, 6.365776062011719e-05]
[38, 6.556510925292969e-05]
[39, 7.152557373046875e-05]
[40, 7.605552673339844e-05]
[41, 8.702278137207031e-05]
[42, 6.890296936035156e-05]
[43, 9.298324584960938e-05]
[44, 0.00010275840759277344]
[45, 0.0002162456512451172]
[46, 0.00019550323486328125]
[47, 0.00020742416381835938]
[48, 0.00023627281188964844]
[49, 0.00017714500427246094]
[50, 0.00013947486877441406]
[51, 0.00011682510375976562]
[52, 0.00010919570922851562]
[53, 0.00014519691467285156]
[54, 0.00011968612670898438]
[55, 0.00011849403381347656]
[56, 0.0001354217529296875]
[57, 0.00014328956604003906]
[58, 0.00013399124145507812]
[59, 0.00013399124145507812]
[60, 0.00017404556274414062]
[61, 0.00017023086547851562]
[62, 0.0001404285430908203]
[63, 0.00016570091247558594]
[64, 0.0001621246337890625]
[65, 7.843971252441406e-05]
[66, 7.867813110351562e-05]
[67, 7.534027099609375e-05]
[68, 7.867813110351562e-05]
[69, 7.2479248046875e-05]
[70, 7.462501525878906e-05]
[71, 7.581710815429688e-05]
[72, 7.867813110351562e-05]
[73, 8.726119995117188e-05]
[74, 8.559226989746094e-05]
[75, 8.702278137207031e-05]
[76, 0.00010132789611816406]
[77, 9.560585021972656e-05]
[78, 9.083747863769531e-05]
[79, 0.00010013580322265625]
[80, 0.00011777877807617188]
[81, 9.107589721679688e-05]
[82, 9.298324584960938e-05]
[83, 9.632110595703125e-05]
[84, 0.00010633468627929688]
[85, 0.00010633468627929688]
[86, 0.00011086463928222656]
[87, 0.00012159347534179688]
[88, 0.00010275840759277344]
[89, 0.00011372566223144531]
[90, 0.00011849403381347656]
[91, 0.00013208389282226562]
[92, 0.00011134147644042969]
[93, 0.00012350082397460938]
[94, 0.0001251697540283203]
[95, 0.00013184547424316406]
[96, 0.00012159347534179688]
[97, 0.00011467933654785156]
[98, 0.00013017654418945312]
[99, 0.00013518333435058594]
[100, 0.00014591217041015625]
[101, 0.0001430511474609375]
[102, 0.00014066696166992188]
[103, 0.0001404285430908203]
[104, 0.00015473365783691406]
[105, 0.0001342296600341797]
[106, 0.0001513957977294922]
[107, 0.00015687942504882812]
[108, 0.00017571449279785156]
[109, 0.00015926361083984375]
[110, 0.00015616416931152344]
[111, 0.0001621246337890625]
[112, 0.00017786026000976562]
[113, 0.0003101825714111328]
[114, 0.00017762184143066406]
[115, 0.00016379356384277344]
[116, 0.00017642974853515625]
[117, 0.0001595020294189453]
[118, 0.0001952648162841797]
[119, 0.00020647048950195312]
[120, 0.00018644332885742188]
[121, 0.00020051002502441406]
[122, 0.00020313262939453125]
[123, 0.00019240379333496094]
[124, 0.00022912025451660156]
[125, 0.0002052783966064453]
[126, 0.00019621849060058594]
[127, 0.0002067089080810547]
[128, 0.00021958351135253906]
[129, 0.0002315044403076172]
[130, 0.0001304149627685547]
[131, 0.00014281272888183594]
[132, 0.00012755393981933594]
[133, 0.00012230873107910156]
[134, 0.00012969970703125]
[135, 0.00013113021850585938]
[136, 0.00013828277587890625]
[137, 0.0001354217529296875]
[138, 0.00014448165893554688]
[139, 0.00013208389282226562]
[140, 0.0001373291015625]
[141, 0.00013184547424316406]
[142, 0.0001385211944580078]
[143, 0.00015854835510253906]
[144, 0.00013184547424316406]
