[0, 2.384185791015625e-06]
[1, 2.384185791015625e-06]
[2, 1.9073486328125e-06]
[3, 2.1457672119140625e-06]
[4, 2.384185791015625e-06]
[5, 2.384185791015625e-06]
[6, 2.86102294921875e-06]
[7, 2.6226043701171875e-06]
[8, 2.86102294921875e-06]
[9, 2.86102294921875e-06]
[10, 3.337860107421875e-06]
[11, 3.814697265625e-06]
[12, 3.814697265625e-06]
[13, 4.291534423828125e-06]
[14, 4.291534423828125e-06]
[15, 4.76837158203125e-06]
[16, 4.5299530029296875e-06]
[17, 4.5299530029296875e-06]
[18, 4.76837158203125e-06]
[19, 5.7220458984375e-06]
[20, 5.245208740234375e-06]
[21, 5.9604644775390625e-06]
[22, 5.245208740234375e-06]
[23, 5.4836273193359375e-06]
[24, 5.9604644775390625e-06]
[25, 6.4373016357421875e-06]
[26, 4.5299530029296875e-06]
[27, 6.4373016357421875e-06]
[28, 7.62939453125e-06]
[29, 7.62939453125e-06]
[30, 8.106231689453125e-06]
[31, 7.867813110351562e-06]
[32, 8.344650268554688e-06]
[33, 8.344650268554688e-06]
[34, 9.298324584960938e-06]
[35, 9.298324584960938e-06]
[36, 9.5367431640625e-06]
[37, 1.0013580322265625e-05]
[38, 9.5367431640625e-06]
[39, 1.0251998901367188e-05]
[40, 1.0728836059570312e-05]
[41, 1.0967254638671875e-05]
[42, 1.049041748046875e-05]
[43, 1.1444091796875e-05]
[44, 1.1444091796875e-05]
[45, 1.2159347534179688e-05]
[46, 1.1920928955078125e-05]
[47, 1.2159347534179688e-05]
[48, 1.2159347534179688e-05]
[49, 1.2874603271484375e-05]
[50, 1.3113021850585938e-05]
[51, 1.3589859008789062e-05]
[52, 1.3113021850585938e-05]
[53, 1.3828277587890625e-05]
[54, 1.430511474609375e-05]
[55, 1.4543533325195312e-05]
[56, 1.3828277587890625e-05]
[57, 1.5020370483398438e-05]
[58, 1.5020370483398438e-05]
[59, 1.4781951904296875e-05]
[60, 1.6689300537109375e-05]
[61, 1.621246337890625e-05]
[62, 1.621246337890625e-05]
[63, 1.8358230590820312e-05]
[64, 1.8358230590820312e-05]
[65, 5.4836273193359375e-05]
[66, 5.14984130859375e-05]
[67, 5.245208740234375e-05]
[68, 5.030632019042969e-05]
[69, 5.269050598144531e-05]
[70, 5.53131103515625e-05]
[71, 5.125999450683594e-05]
[72, 4.792213439941406e-05]
[73, 5.602836608886719e-05]
[74, 5.745887756347656e-05]
[75, 4.839897155761719e-05]
[76, 5.91278076171875e-05]
[77, 5.1021575927734375e-05]
[78, 3.719329833984375e-05]
[79, 3.24249267578125e-05]
[80, 3.647804260253906e-05]
[81, 3.910064697265625e-05]
[82, 5.9604644775390625e-05]
[83, 6.198883056640625e-05]
[84, 6.651878356933594e-05]
[85, 6.508827209472656e-05]
[86, 6.270408630371094e-05]
[87, 5.078315734863281e-05]
[88, 6.794929504394531e-05]
[89, 6.389617919921875e-05]
[90, 4.863739013671875e-05]
[91, 7.104873657226562e-05]
[92, 6.604194641113281e-05]
[93, 6.842613220214844e-05]
[94, 7.319450378417969e-05]
[95, 6.604194641113281e-05]
[96, 7.200241088867188e-05]
[97, 7.081031799316406e-05]
[98, 4.4345855712890625e-05]
[99, 6.246566772460938e-05]
[100, 7.462501525878906e-05]
[101, 7.62939453125e-05]
[102, 6.270408630371094e-05]
[103, 8.344650268554688e-05]
[104, 7.557868957519531e-05]
[105, 7.557868957519531e-05]
[106, 8.0108642578125e-05]
[107, 7.82012939453125e-05]
[108, 8.034706115722656e-05]
[109, 7.915496826171875e-05]
[110, 7.939338684082031e-05]
[111, 8.416175842285156e-05]
[112, 7.605552673339844e-05]
[113, 8.296966552734375e-05]
[114, 5.602836608886719e-05]
[115, 7.867813110351562e-05]
[116, 8.273124694824219e-05]
[117, 8.726119995117188e-05]
[118, 8.416175842285156e-05]
[119, 8.96453857421875e-05]
[120, 8.559226989746094e-05]
[121, 8.916854858398438e-05]
[122, 8.0108642578125e-05]
[123, 8.559226989746094e-05]
[124, 8.96453857421875e-05]
[125, 9.226799011230469e-05]
[126, 8.893013000488281e-05]
[127, 9.417533874511719e-05]
[128, 8.893013000488281e-05]
[129, 0.00012755393981933594]
[130, 0.00010967254638671875]
[131, 0.0001575946807861328]
[132, 0.00016260147094726562]
[133, 0.0001659393310546875]
[134, 0.0001659393310546875]
[135, 0.00015211105346679688]
[136, 0.0001690387725830078]
[137, 0.00016570091247558594]
[138, 0.00016069412231445312]
[139, 0.00018167495727539062]
[140, 0.0001583099365234375]
[141, 0.00015544891357421875]
[142, 0.0001709461212158203]
[143, 0.00017380714416503906]
[144, 0.00016832351684570312]
[145, 0.0001430511474609375]
[146, 9.202957153320312e-05]
[147, 9.083747863769531e-05]
[148, 9.083747863769531e-05]
[149, 9.131431579589844e-05]
[150, 9.632110595703125e-05]
[151, 0.00013780593872070312]
[152, 0.0001690387725830078]
[153, 9.942054748535156e-05]
[154, 9.632110595703125e-05]
[155, 9.560585021972656e-05]
[156, 9.608268737792969e-05]
[157, 9.512901306152344e-05]
[158, 9.72747802734375e-05]
[159, 9.799003601074219e-05]
[160, 9.799003601074219e-05]
[161, 9.846687316894531e-05]
[162, 9.870529174804688e-05]
[163, 9.989738464355469e-05]
[164, 0.00010037422180175781]
[165, 0.00010013580322265625]
[166, 0.0001010894775390625]
[167, 0.0001010894775390625]
[168, 0.00010228157043457031]
[169, 0.00010228157043457031]
[170, 0.00010251998901367188]
[171, 0.00010514259338378906]
[172, 0.00010514259338378906]
[173, 0.00010514259338378906]
[174, 0.00010561943054199219]
[175, 0.00010633468627929688]
[176, 0.00010728836059570312]
[177, 0.00010704994201660156]
[178, 0.00010728836059570312]
[179, 0.00010800361633300781]
[180, 0.0001087188720703125]
[181, 0.00010991096496582031]
[182, 0.00011038780212402344]
[183, 0.0001125335693359375]
[184, 0.00011205673217773438]
[185, 0.00011301040649414062]
[186, 0.00011563301086425781]
[187, 0.00011491775512695312]
[188, 0.0001163482666015625]
[189, 0.00011658668518066406]
[190, 0.000118255615234375]
[191, 0.00011754035949707031]
[192, 0.00011777877807617188]
[193, 0.0001373291015625]
[194, 0.0001201629638671875]
[195, 0.00011897087097167969]
[196, 0.00011992454528808594]
[197, 0.00012040138244628906]
[198, 0.00012230873107910156]
[199, 0.00012135505676269531]
[200, 0.00012254714965820312]
[201, 0.00012254714965820312]
[202, 0.00012302398681640625]
[203, 0.00012350082397460938]
[204, 0.00012493133544921875]
[205, 0.0001266002655029297]
[206, 0.000125885009765625]
[207, 0.000125885009765625]
[208, 0.0001270771026611328]
[209, 0.0001270771026611328]
[210, 0.0001289844512939453]
[211, 0.0001277923583984375]
[212, 0.00012826919555664062]
[213, 0.00012969970703125]
[214, 0.00013113021850585938]
[215, 0.00013184547424316406]
[216, 0.0001327991485595703]
[217, 0.00013256072998046875]
[218, 0.00013208389282226562]
[219, 0.0001347064971923828]
[220, 0.00013256072998046875]
[221, 0.0001354217529296875]
[222, 0.00015544891357421875]
[223, 0.0001373291015625]
[224, 0.0001628398895263672]
[225, 0.00014519691467285156]
[226, 0.00013780593872070312]
[227, 0.0001647472381591797]
[228, 0.00014019012451171875]
[229, 0.00016188621520996094]
[230, 0.00014853477478027344]
[231, 0.0001506805419921875]
[232, 0.00015115737915039062]
[233, 0.00014925003051757812]
[234, 0.00014209747314453125]
[235, 0.00016307830810546875]
[236, 0.00014781951904296875]
[237, 0.00014495849609375]
[238, 0.00016927719116210938]
[239, 0.00015401840209960938]
[240, 0.0001468658447265625]
[241, 0.0001621246337890625]
[242, 0.0001659393310546875]
[243, 0.00015687942504882812]
[244, 0.00014901161193847656]
[245, 0.00016808509826660156]
[246, 0.00017404556274414062]
[247, 0.00016570091247558594]
[248, 0.00024390220642089844]
[249, 0.0002307891845703125]
[250, 0.0001723766326904297]
[251, 0.00016641616821289062]
[252, 0.0001671314239501953]
[253, 0.00017833709716796875]
[254, 0.00015544891357421875]
[255, 0.0001659393310546875]
[256, 0.00018262863159179688]
[257, 0.00017690658569335938]
[258, 0.00020885467529296875]
[259, 0.00022482872009277344]
[260, 0.0002415180206298828]
[261, 0.00024175643920898438]
[262, 0.00025391578674316406]
[263, 0.000255584716796875]
[264, 0.0002574920654296875]
[265, 0.0002620220184326172]
[266, 0.0002624988555908203]
[267, 0.0002655982971191406]
[268, 0.0002415180206298828]
[269, 0.00024247169494628906]
[270, 0.0002682209014892578]
[271, 0.0002613067626953125]
[272, 0.0002589225769042969]
[273, 0.00025177001953125]
[274, 0.00024628639221191406]
[275, 0.0002751350402832031]
[276, 0.00027370452880859375]
[277, 0.0002751350402832031]
[278, 0.0002663135528564453]
[279, 0.0002560615539550781]
[280, 0.0002522468566894531]
[281, 0.00027251243591308594]
[282, 0.0002593994140625]
[283, 0.0002663135528564453]
[284, 0.0002646446228027344]
[285, 0.00026297569274902344]
[286, 0.0002682209014892578]
[287, 0.0002617835998535156]
[288, 0.00026106834411621094]
[289, 0.0002613067626953125]
[290, 0.000293731689453125]
[291, 0.00026988983154296875]
[292, 0.00026345252990722656]
[293, 0.0002644062042236328]
[294, 0.0002651214599609375]
[295, 0.00026679039001464844]
[296, 0.00027108192443847656]
[297, 0.00027298927307128906]
[298, 0.0002734661102294922]
[299, 0.0002846717834472656]
[300, 0.0002739429473876953]
[301, 0.0002799034118652344]
[302, 0.00028204917907714844]
[303, 0.00028967857360839844]
[304, 0.00027561187744140625]
[305, 0.00027632713317871094]
[306, 0.0002894401550292969]
[307, 0.0002779960632324219]
[308, 0.0002796649932861328]
[309, 0.00047206878662109375]
[310, 0.0002865791320800781]
[311, 0.00029659271240234375]
[312, 0.0002856254577636719]
[313, 0.0002837181091308594]
[314, 0.00028514862060546875]
[315, 0.0003170967102050781]
[316, 0.0002880096435546875]
[317, 0.00028824806213378906]
[318, 0.0002880096435546875]
[319, 0.00030040740966796875]
[320, 0.00028896331787109375]
[321, 0.0002913475036621094]
[322, 0.0002906322479248047]
[323, 0.0003192424774169922]
[324, 0.0003108978271484375]
[325, 0.00029349327087402344]
[326, 0.0002956390380859375]
[327, 0.0003056526184082031]
[328, 0.0002970695495605469]
[329, 0.00029850006103515625]
[330, 0.00030040740966796875]
[331, 0.00031447410583496094]
[332, 0.0003006458282470703]
[333, 0.0003020763397216797]
[334, 0.00030159950256347656]
[335, 0.00031566619873046875]
[336, 0.00030612945556640625]
[337, 0.0003058910369873047]
[338, 0.0003044605255126953]
[339, 0.000331878662109375]
[340, 0.0003077983856201172]
[341, 0.0003085136413574219]
[342, 0.0003113746643066406]
[343, 0.00031256675720214844]
[344, 0.00031185150146484375]
[345, 0.0003108978271484375]
[346, 0.0003147125244140625]
[347, 0.0003147125244140625]
[348, 0.0003147125244140625]
[349, 0.0003170967102050781]
[350, 0.0003197193145751953]
[351, 0.0003204345703125]
[352, 0.0003254413604736328]
[353, 0.0003223419189453125]
[354, 0.00032138824462890625]
[355, 0.00034356117248535156]
[356, 0.0003428459167480469]
[357, 0.00032520294189453125]
[358, 0.0003261566162109375]
[359, 0.00032782554626464844]
[360, 0.0005774497985839844]
[361, 0.0003504753112792969]
[362, 0.00033092498779296875]
[363, 0.0003325939178466797]
[364, 0.0003314018249511719]
[365, 0.0003325939178466797]
[366, 0.00033354759216308594]
[367, 0.0003323554992675781]
[368, 0.0003342628479003906]
[369, 0.0003383159637451172]
[370, 0.00033926963806152344]
[371, 0.0003380775451660156]
[372, 0.0003380775451660156]
[373, 0.000339508056640625]
[374, 0.000339508056640625]
[375, 0.0003409385681152344]
[376, 0.00034236907958984375]
[377, 0.0003452301025390625]
[378, 0.0003437995910644531]
[379, 0.0003447532653808594]
[380, 0.0003864765167236328]
[381, 0.0003478527069091797]
[382, 0.0003495216369628906]
[383, 0.00036716461181640625]
[384, 0.00035953521728515625]
[385, 0.0003638267517089844]
[386, 0.0003521442413330078]
[387, 0.0003514289855957031]
[388, 0.0003523826599121094]
[389, 0.0003685951232910156]
[390, 0.0003554821014404297]
[391, 0.00035643577575683594]
[392, 0.0003693103790283203]
[393, 0.0003600120544433594]
[394, 0.0003600120544433594]
[395, 0.0006954669952392578]
[396, 0.0006263256072998047]
[397, 0.0006833076477050781]
[398, 0.0006973743438720703]
[399, 0.0006995201110839844]
[400, 0.0006902217864990234]
[401, 0.0006649494171142578]
[402, 0.000682830810546875]
[403, 0.0006546974182128906]
[404, 0.0007257461547851562]
[405, 0.0006647109985351562]
[406, 0.0006589889526367188]
[407, 0.0006470680236816406]
[408, 0.0006415843963623047]
[409, 0.0007278919219970703]
[410, 0.000698089599609375]
[411, 0.0005753040313720703]
[412, 0.0006761550903320312]
[413, 0.0006215572357177734]
[414, 0.00048828125]
[415, 0.00039839744567871094]
[416, 0.0004639625549316406]
[417, 0.00041294097900390625]
[418, 0.00038170814514160156]
[419, 0.0003838539123535156]
[420, 0.0003859996795654297]
[421, 0.0003838539123535156]
[422, 0.0004038810729980469]
[423, 0.0003871917724609375]
[424, 0.0003859996795654297]
[425, 0.00038743019104003906]
[426, 0.0003864765167236328]
[427, 0.0003871917724609375]
[428, 0.0004124641418457031]
[429, 0.0003914833068847656]
[430, 0.0003917217254638672]
[431, 0.0004532337188720703]
[432, 0.0004467964172363281]
[433, 0.0003952980041503906]
[434, 0.00039386749267578125]
[435, 0.0004029273986816406]
[436, 0.0003972053527832031]
[437, 0.0003979206085205078]
[438, 0.0003972053527832031]
[439, 0.0003993511199951172]
[440, 0.00040078163146972656]
[441, 0.00040030479431152344]
[442, 0.000400543212890625]
[443, 0.0004105567932128906]
[444, 0.0004048347473144531]
[445, 0.00040531158447265625]
[446, 0.00041413307189941406]
[447, 0.00040721893310546875]
[448, 0.00041031837463378906]
[449, 0.0004165172576904297]
[450, 0.0004105567932128906]
[451, 0.0004096031188964844]
[452, 0.0004169940948486328]
[453, 0.0004119873046875]
[454, 0.00041222572326660156]
[455, 0.00042700767517089844]
[456, 0.0004165172576904297]
[457, 0.00041747093200683594]
[458, 0.00042629241943359375]
[459, 0.0004181861877441406]
[460, 0.00042128562927246094]
[461, 0.0004329681396484375]
[462, 0.0004222393035888672]
[463, 0.0004200935363769531]
[464, 0.00043201446533203125]
[465, 0.00042319297790527344]
[466, 0.00042438507080078125]
[467, 0.00043463706970214844]
[468, 0.0004258155822753906]
[469, 0.00042557716369628906]
[470, 0.00043654441833496094]
[471, 0.0006074905395507812]
[472, 0.0004379749298095703]
[473, 0.0004322528839111328]
[474, 0.0004303455352783203]
[475, 0.000431060791015625]
[476, 0.00043129920959472656]
[477, 0.0004343986511230469]
[478, 0.00044274330139160156]
[479, 0.0004353523254394531]
[480, 0.000438690185546875]
[481, 0.0004494190216064453]
[482, 0.00043773651123046875]
[483, 0.00043964385986328125]
[484, 0.0004444122314453125]
[485, 0.00044083595275878906]
[486, 0.0004451274871826172]
[487, 0.00044608116149902344]
[488, 0.00044417381286621094]
[489, 0.0004439353942871094]
[490, 0.000446319580078125]
[491, 0.0004467964172363281]
[492, 0.0004470348358154297]
[493, 0.0004508495330810547]
[494, 0.0004494190216064453]
[495, 0.0004603862762451172]
[496, 0.00045418739318847656]
[497, 0.0004515647888183594]
[498, 0.00045228004455566406]
[499, 0.0004553794860839844]
[500, 0.0004525184631347656]
[501, 0.0004563331604003906]
[502, 0.0005121231079101562]
[503, 0.0005817413330078125]
[504, 0.00046563148498535156]
[505, 0.0004611015319824219]
[506, 0.0005743503570556641]
[507, 0.00046563148498535156]
[508, 0.0004642009735107422]
[509, 0.00046372413635253906]
[510, 0.0004658699035644531]
[511, 0.00046133995056152344]
[512, 0.0004622936248779297]
[513, 0.0004949569702148438]
[514, 0.0005083084106445312]
[515, 0.0005347728729248047]
[516, 0.0005617141723632812]
[517, 0.0006268024444580078]
[518, 0.0006248950958251953]
[519, 0.0006363391876220703]
[520, 0.0006632804870605469]
[521, 0.0006649494171142578]
[522, 0.0006704330444335938]
[523, 0.0006685256958007812]
[524, 0.0006666183471679688]
[525, 0.0006835460662841797]
[526, 0.0006740093231201172]
[527, 0.0006778240203857422]
[528, 0.0006740093231201172]
[529, 0.0006742477416992188]
[530, 0.0006799697875976562]
[531, 0.0006806850433349609]
[532, 0.0006887912750244141]
[533, 0.0006844997406005859]
[534, 0.0006918907165527344]
[535, 0.0006844997406005859]
[536, 0.0006880760192871094]
[537, 0.0006880760192871094]
[538, 0.0007407665252685547]
[539, 0.0006923675537109375]
[540, 0.0006921291351318359]
[541, 0.0006937980651855469]
[542, 0.0006933212280273438]
[543, 0.0007026195526123047]
[544, 0.0006966590881347656]
[545, 0.0007104873657226562]
[546, 0.0006978511810302734]
[547, 0.0006976127624511719]
[548, 0.0006999969482421875]
[549, 0.0007050037384033203]
[550, 0.0007042884826660156]
[551, 0.0007052421569824219]
[552, 0.0007100105285644531]
[553, 0.0007081031799316406]
[554, 0.0007216930389404297]
[555, 0.0007135868072509766]
[556, 0.0007216930389404297]
[557, 0.0007152557373046875]
[558, 0.0007152557373046875]
[559, 0.0007147789001464844]
[560, 0.0007150173187255859]
[561, 0.0007197856903076172]
[562, 0.0007200241088867188]
[563, 0.0007214546203613281]
[564, 0.0007240772247314453]
[565, 0.0007219314575195312]
[566, 0.0008013248443603516]
[567, 0.0007278919219970703]
[568, 0.0007317066192626953]
[569, 0.0007367134094238281]
[570, 0.0007305145263671875]
[571, 0.0007388591766357422]
[572, 0.0007331371307373047]
[573, 0.0008094310760498047]
[574, 0.0007367134094238281]
[575, 0.0007431507110595703]
[576, 0.0007345676422119141]
[577, 0.0007355213165283203]
[578, 0.0007352828979492188]
[579, 0.0007436275482177734]
[580, 0.0007414817810058594]
[581, 0.0007522106170654297]
[582, 0.0007460117340087891]
[583, 0.0007457733154296875]
[584, 0.0007462501525878906]
[585, 0.0007500648498535156]
[586, 0.0007486343383789062]
[587, 0.0007493495941162109]
[588, 0.0007512569427490234]
[589, 0.0007574558258056641]
[590, 0.0007574558258056641]
[591, 0.0007543563842773438]
[592, 0.0007569789886474609]
[593, 0.0007588863372802734]
[594, 0.0008673667907714844]
[595, 0.0007646083831787109]
[596, 0.000766754150390625]
[597, 0.0007688999176025391]
[598, 0.0007672309875488281]
[599, 0.0007665157318115234]
[600, 0.0007688999176025391]
[601, 0.0007719993591308594]
[602, 0.0007681846618652344]
[603, 0.0007748603820800781]
[604, 0.0008406639099121094]
[605, 0.0008251667022705078]
[606, 0.0008356571197509766]
[607, 0.0008008480072021484]
[608, 0.0007793903350830078]
[609, 0.0007929801940917969]
[610, 0.0007829666137695312]
[611, 0.0007915496826171875]
[612, 0.0007836818695068359]
[613, 0.0007920265197753906]
[614, 0.0007901191711425781]
[615, 0.0007996559143066406]
[616, 0.0007908344268798828]
[617, 0.0007979869842529297]
[618, 0.0007901191711425781]
[619, 0.0008094310760498047]
[620, 0.0008437633514404297]
[621, 0.0007965564727783203]
[622, 0.0008003711700439453]
[623, 0.0008413791656494141]
[624, 0.0008018016815185547]
[625, 0.0007996559143066406]
[626, 0.0008020401000976562]
[627, 0.0008025169372558594]
[628, 0.0008072853088378906]
[629, 0.0008058547973632812]
[630, 0.0008082389831542969]
[631, 0.0010995864868164062]
[632, 0.0008211135864257812]
[633, 0.0008111000061035156]
[634, 0.0008211135864257812]
[635, 0.0008127689361572266]
[636, 0.0008203983306884766]
[637, 0.0008881092071533203]
[638, 0.0008194446563720703]
[639, 0.0008270740509033203]
[640, 0.0008339881896972656]
[641, 0.0008215904235839844]
[642, 0.0008215904235839844]
[643, 0.0008213520050048828]
[644, 0.0008234977722167969]
[645, 0.0008254051208496094]
[646, 0.0008287429809570312]
[647, 0.000827789306640625]
[648, 0.0008292198181152344]
[649, 0.0008306503295898438]
[650, 0.0008347034454345703]
[651, 0.0008549690246582031]
[652, 0.0008356571197509766]
[653, 0.0008459091186523438]
[654, 0.0008962154388427734]
[655, 0.0008420944213867188]
[656, 0.0008389949798583984]
[657, 0.0008397102355957031]
[658, 0.0008423328399658203]
[659, 0.0015726089477539062]
[660, 0.0008525848388671875]
[661, 0.0008487701416015625]
[662, 0.0009586811065673828]
[663, 0.0008654594421386719]
[664, 0.0008497238159179688]
[665, 0.0009036064147949219]
[666, 0.0008540153503417969]
[667, 0.0008523464202880859]
[668, 0.0008568763732910156]
[669, 0.0008985996246337891]
[670, 0.0008695125579833984]
[671, 0.0008594989776611328]
[672, 0.0008637905120849609]
[673, 0.0008580684661865234]
[674, 0.0008611679077148438]
[675, 0.0008673667907714844]
[676, 0.0008673667907714844]
[677, 0.0008790493011474609]
[678, 0.0008680820465087891]
[679, 0.0008692741394042969]
[680, 0.0008726119995117188]
[681, 0.0008718967437744141]
[682, 0.0008916854858398438]
[683, 0.0008881092071533203]
[684, 0.0008943080902099609]
[685, 0.0013971328735351562]
[686, 0.0009932518005371094]
[687, 0.0013751983642578125]
[688, 0.0012319087982177734]
[689, 0.0011551380157470703]
[690, 0.0014388561248779297]
[691, 0.0009050369262695312]
[692, 0.0008885860443115234]
[693, 0.0009176731109619141]
[694, 0.0009164810180664062]
[695, 0.0010530948638916016]
[696, 0.0013251304626464844]
[697, 0.0009303092956542969]
[698, 0.0009431838989257812]
[699, 0.001033782958984375]
[700, 0.0009093284606933594]
[701, 0.0009660720825195312]
[702, 0.0009026527404785156]
[703, 0.0009284019470214844]
[704, 0.0009491443634033203]
[705, 0.000926971435546875]
[706, 0.0009059906005859375]
[707, 0.0009284019470214844]
[708, 0.0009105205535888672]
[709, 0.0009083747863769531]
[710, 0.0009279251098632812]
[711, 0.0009121894836425781]
[712, 0.0009317398071289062]
[713, 0.0009241104125976562]
[714, 0.0009326934814453125]
[715, 0.0009181499481201172]
[716, 0.0009222030639648438]
[717, 0.0009298324584960938]
[718, 0.0009369850158691406]
[719, 0.0009899139404296875]
[720, 0.0009570121765136719]
[721, 0.0009238719940185547]
[722, 0.0009284019470214844]
[723, 0.0009284019470214844]
[724, 0.0009393692016601562]
[725, 0.001132965087890625]
[726, 0.0009367465972900391]
[727, 0.001058340072631836]
[728, 0.0009465217590332031]
[729, 0.0009963512420654297]
[730, 0.0010156631469726562]
[731, 0.0009396076202392578]
[732, 0.0009670257568359375]
[733, 0.0009436607360839844]
[734, 0.0009593963623046875]
[735, 0.0009443759918212891]
[736, 0.0010383129119873047]
[737, 0.0009458065032958984]
[738, 0.0009744167327880859]
[739, 0.0009472370147705078]
[740, 0.0009729862213134766]
[741, 0.0009500980377197266]
[742, 0.0010180473327636719]
[743, 0.0009543895721435547]
[744, 0.0010120868682861328]
[745, 0.0009539127349853516]
[746, 0.0009722709655761719]
[747, 0.000972747802734375]
[748, 0.0009610652923583984]
[749, 0.0009591579437255859]
[750, 0.0009682178497314453]
[751, 0.0009877681732177734]
[752, 0.0009644031524658203]
[753, 0.0010485649108886719]
[754, 0.0009694099426269531]
[755, 0.001050710678100586]
[756, 0.0009908676147460938]
[757, 0.0009870529174804688]
[758, 0.0009906291961669922]
[759, 0.000997781753540039]
[760, 0.0009891986846923828]
[761, 0.0009996891021728516]
[762, 0.0009818077087402344]
[763, 0.0009961128234863281]
[764, 0.0009925365447998047]
[765, 0.000997304916381836]
[766, 0.000986337661743164]
[767, 0.0009996891021728516]
[768, 0.000993967056274414]
[769, 0.0010001659393310547]
[770, 0.0009982585906982422]
[771, 0.0010318756103515625]
[772, 0.0010118484497070312]
[773, 0.0009918212890625]
[774, 0.0010716915130615234]
[775, 0.001073598861694336]
[776, 0.000993490219116211]
[777, 0.0010242462158203125]
[778, 0.0010733604431152344]
[779, 0.0010120868682861328]
[780, 0.0010004043579101562]
[781, 0.0010254383087158203]
[782, 0.001003265380859375]
[783, 0.001004934310913086]
[784, 0.001005411148071289]
