[0, 2.1457672119140625e-06]
[1, 1.430511474609375e-06]
[2, 1.049041748046875e-05]
[3, 1.239776611328125e-05]
[4, 1.71661376953125e-05]
[5, 1.9311904907226562e-05]
[6, 2.7179718017578125e-05]
[7, 3.0040740966796875e-05]
[8, 3.218650817871094e-05]
[9, 4.1484832763671875e-05]
[10, 4.506111145019531e-05]
[11, 4.935264587402344e-05]
[12, 4.9591064453125e-05]
[13, 6.127357482910156e-05]
[14, 4.76837158203125e-05]
[15, 7.200241088867188e-05]
[16, 7.891654968261719e-05]
[17, 8.869171142578125e-05]
[18, 7.915496826171875e-05]
[19, 9.012222290039062e-05]
[20, 9.703636169433594e-05]
[21, 0.00010204315185546875]
[22, 0.00010943412780761719]
[23, 0.00011110305786132812]
[24, 0.00011992454528808594]
[25, 7.700920104980469e-05]
[26, 0.00013637542724609375]
[27, 0.00011444091796875]
[28, 0.0001537799835205078]
[29, 0.00014066696166992188]
[30, 0.00015807151794433594]
[31, 0.0001552104949951172]
[32, 0.0001704692840576172]
[33, 0.00020194053649902344]
[34, 0.00017714500427246094]
[35, 0.00018548965454101562]
[36, 0.0001780986785888672]
[37, 0.0001862049102783203]
[38, 0.0002105236053466797]
[39, 0.0002205371856689453]
[40, 0.00021076202392578125]
[41, 0.00019788742065429688]
[42, 0.00021839141845703125]
[43, 0.00025653839111328125]
[44, 0.000244140625]
[45, 0.00022721290588378906]
[46, 0.00015544891357421875]
[47, 0.0001552104949951172]
[48, 0.0001456737518310547]
[49, 0.00015664100646972656]
[50, 0.0001659393310546875]
[51, 0.00017380714416503906]
[52, 0.00016808509826660156]
[53, 0.00017118453979492188]
[54, 0.00018548965454101562]
[55, 0.00017452239990234375]
[56, 0.00017976760864257812]
[57, 0.00019288063049316406]
[58, 0.0002415180206298828]
[59, 0.00019073486328125]
[60, 0.00019025802612304688]
[61, 0.0002319812774658203]
[62, 0.00022292137145996094]
[63, 0.0002009868621826172]
[64, 0.00024080276489257812]
[65, 0.0002384185791015625]
[66, 0.00022935867309570312]
[67, 0.00022649765014648438]
[68, 0.00026154518127441406]
[69, 0.00024437904357910156]
[70, 0.00023818016052246094]
[71, 0.000247955322265625]
[72, 0.0002841949462890625]
[73, 0.00024175643920898438]
[74, 0.00025534629821777344]
[75, 0.0002777576446533203]
[76, 0.000255584716796875]
[77, 0.00026226043701171875]
[78, 0.00026345252990722656]
[79, 0.0002932548522949219]
[80, 0.0004444122314453125]
[81, 0.0003094673156738281]
[82, 0.0002777576446533203]
[83, 0.0003387928009033203]
[84, 0.0003113746643066406]
[85, 0.0002942085266113281]
[86, 0.00032782554626464844]
[87, 0.0002982616424560547]
[88, 0.0003325939178466797]
[89, 0.0003342628479003906]
[90, 0.0003428459167480469]
[91, 0.0003464221954345703]
[92, 0.0003142356872558594]
[93, 0.0003592967987060547]
[94, 0.0003294944763183594]
[95, 0.00035071372985839844]
[96, 0.0003790855407714844]
[97, 0.0003631114959716797]
[98, 0.0003848075866699219]
[99, 0.00037360191345214844]
[100, 0.00037026405334472656]
[101, 0.0003795623779296875]
[102, 0.0004048347473144531]
[103, 0.00040435791015625]
[104, 0.00036454200744628906]
[105, 0.0003952980041503906]
[106, 0.0003762245178222656]
[107, 0.0004017353057861328]
[108, 0.0004553794860839844]
[109, 0.0005578994750976562]
[110, 0.0004050731658935547]
[111, 0.00038933753967285156]
[112, 0.00042438507080078125]
[113, 0.0003948211669921875]
[114, 0.0004520416259765625]
[115, 0.00040841102600097656]
[116, 0.0004477500915527344]
[117, 0.000431060791015625]
[118, 0.0004894733428955078]
[119, 0.00043511390686035156]
[120, 0.0004482269287109375]
[121, 0.0006029605865478516]
[122, 0.0007033348083496094]
[123, 0.0007174015045166016]
[124, 0.0006954669952392578]
[125, 0.0008325576782226562]
[126, 0.0008380413055419922]
[127, 0.0007884502410888672]
[128, 0.0008385181427001953]
[129, 0.0007464885711669922]
