[0, 1.6689300537109375e-06]
[1, 1.430511474609375e-06]
[2, 5.4836273193359375e-06]
[3, 1.0728836059570312e-05]
[4, 1.4781951904296875e-05]
[5, 1.7642974853515625e-05]
[6, 2.0742416381835938e-05]
[7, 3.0040740966796875e-05]
[8, 2.9087066650390625e-05]
[9, 3.4332275390625e-05]
[10, 4.0531158447265625e-05]
[11, 5.1975250244140625e-05]
[12, 5.340576171875e-05]
[13, 6.961822509765625e-05]
[14, 6.437301635742188e-05]
[15, 7.581710815429688e-05]
[16, 8.106231689453125e-05]
[17, 7.796287536621094e-05]
[18, 8.797645568847656e-05]
[19, 5.6743621826171875e-05]
[20, 6.556510925292969e-05]
[21, 0.00010275840759277344]
[22, 0.00011944770812988281]
[23, 0.00012373924255371094]
[24, 0.00012564659118652344]
[25, 6.914138793945312e-05]
[26, 7.843971252441406e-05]
[27, 8.177757263183594e-05]
[28, 8.296966552734375e-05]
[29, 8.940696716308594e-05]
[30, 9.632110595703125e-05]
[31, 9.775161743164062e-05]
[32, 0.00010061264038085938]
[33, 0.00010943412780761719]
[34, 0.00017786026000976562]
[35, 0.00020384788513183594]
[36, 0.00022292137145996094]
[37, 0.00023365020751953125]
[38, 0.0002372264862060547]
[39, 0.00024199485778808594]
[40, 0.0002532005310058594]
[41, 0.0002722740173339844]
[42, 0.0002665519714355469]
[43, 0.00030112266540527344]
[44, 0.00027871131896972656]
[45, 0.0002980232238769531]
[46, 0.00029087066650390625]
[47, 0.0003094673156738281]
[48, 0.00031876564025878906]
[49, 0.00027060508728027344]
[50, 0.0003268718719482422]
[51, 0.00030303001403808594]
[52, 0.00029158592224121094]
[53, 0.00036787986755371094]
[54, 0.0003612041473388672]
[55, 0.0003364086151123047]
[56, 0.0003490447998046875]
[57, 0.0003440380096435547]
[58, 0.0003230571746826172]
[59, 0.0003724098205566406]
[60, 0.00029969215393066406]
[61, 0.0004024505615234375]
[62, 0.00043082237243652344]
[63, 0.0004477500915527344]
[64, 0.00041556358337402344]
[65, 0.00043845176696777344]
[66, 0.0004527568817138672]
[67, 0.00045490264892578125]
[68, 0.000492095947265625]
[69, 0.0004279613494873047]
[70, 0.00048041343688964844]
[71, 0.0005006790161132812]
[72, 0.00034308433532714844]
[73, 0.0005316734313964844]
[74, 0.0005402565002441406]
[75, 0.0005548000335693359]
[76, 0.0005588531494140625]
[77, 0.00038695335388183594]
[78, 0.0005772113800048828]
[79, 0.0005929470062255859]
[80, 0.0005841255187988281]
[81, 0.0005917549133300781]
[82, 0.0005438327789306641]
[83, 0.0006792545318603516]
[84, 0.0006003379821777344]
[85, 0.0006132125854492188]
[86, 0.0006153583526611328]
[87, 0.0006411075592041016]
[88, 0.0006291866302490234]
[89, 0.0006120204925537109]
[90, 0.0006222724914550781]
[91, 0.0006358623504638672]
[92, 0.0005829334259033203]
[93, 0.0004992485046386719]
[94, 0.0006537437438964844]
[95, 0.0006401538848876953]
[96, 0.0007889270782470703]
[97, 0.0006859302520751953]
[98, 0.0005693435668945312]
[99, 0.0004315376281738281]
[100, 0.00041103363037109375]
[101, 0.0004210472106933594]
[102, 0.0004222393035888672]
[103, 0.00044465065002441406]
[104, 0.0004239082336425781]
[105, 0.0004534721374511719]
[106, 0.0004336833953857422]
[107, 0.0004496574401855469]
[108, 0.0004904270172119141]
[109, 0.000469207763671875]
[110, 0.0004620552062988281]
