[0, 1.6689300537109375e-06]
[1, 1.6689300537109375e-06]
[2, 5.9604644775390625e-06]
[3, 1.049041748046875e-05]
[4, 1.5735626220703125e-05]
[5, 1.9073486328125e-05]
[6, 2.2172927856445312e-05]
[7, 2.5987625122070312e-05]
[8, 3.409385681152344e-05]
[9, 3.218650817871094e-05]
[10, 4.076957702636719e-05]
[11, 4.839897155761719e-05]
[12, 5.7697296142578125e-05]
[13, 6.151199340820312e-05]
[14, 7.05718994140625e-05]
[15, 7.319450378417969e-05]
[16, 7.939338684082031e-05]
[17, 8.249282836914062e-05]
[18, 9.298324584960938e-05]
[19, 9.560585021972656e-05]
[20, 0.00010013580322265625]
[21, 0.00011539459228515625]
[22, 0.00012564659118652344]
[23, 0.00013184547424316406]
[24, 0.00013375282287597656]
[25, 0.0001308917999267578]
[26, 0.0001277923583984375]
[27, 0.00012731552124023438]
[28, 0.00014591217041015625]
[29, 0.00014781951904296875]
[30, 0.00018358230590820312]
[31, 0.0001804828643798828]
[32, 0.00018906593322753906]
[33, 0.0002028942108154297]
[34, 0.00019979476928710938]
[35, 0.0002148151397705078]
[36, 0.0002148151397705078]
[37, 0.00021147727966308594]
[38, 0.0002315044403076172]
[39, 0.0002484321594238281]
[40, 0.00024962425231933594]
[41, 0.00025272369384765625]
[42, 0.00026488304138183594]
[43, 0.0002868175506591797]
[44, 0.00026988983154296875]
[45, 0.0002422332763671875]
[46, 0.0002894401550292969]
[47, 0.00022673606872558594]
[48, 0.00030493736267089844]
[49, 0.00028705596923828125]
[50, 0.00031280517578125]
[51, 0.0003504753112792969]
[52, 0.0003418922424316406]
[53, 0.0002834796905517578]
[54, 0.0003483295440673828]
[55, 0.0003635883331298828]
[56, 0.0003070831298828125]
[57, 0.0003590583801269531]
[58, 0.0002741813659667969]
[59, 0.0002124309539794922]
[60, 0.00021195411682128906]
[61, 0.0002243518829345703]
[62, 0.0002288818359375]
[63, 0.00023174285888671875]
[64, 0.00023627281188964844]
[65, 0.0002465248107910156]
[66, 0.00024890899658203125]
[67, 0.0002484321594238281]
[68, 0.00025725364685058594]
[69, 0.0002639293670654297]
[70, 0.00026702880859375]
[71, 0.0002677440643310547]
[72, 0.0002713203430175781]
[73, 0.00028014183044433594]
[74, 0.00028395652770996094]
[75, 0.00029540061950683594]
[76, 0.00029969215393066406]
[77, 0.0002942085266113281]
[78, 0.00030994415283203125]
[79, 0.00031304359436035156]
[80, 0.00030732154846191406]
[81, 0.0003139972686767578]
[82, 0.0003192424774169922]
[83, 0.00033092498779296875]
[84, 0.00032448768615722656]
[85, 0.0003361701965332031]
[86, 0.0003414154052734375]
[87, 0.0003459453582763672]
[88, 0.00035381317138671875]
[89, 0.0003523826599121094]
[90, 0.000354766845703125]
[91, 0.00039315223693847656]
[92, 0.0004107952117919922]
[93, 0.0004138946533203125]
[94, 0.0004267692565917969]
[95, 0.0003795623779296875]
[96, 0.0003879070281982422]
[97, 0.00039386749267578125]
[98, 0.000408172607421875]
[99, 0.00040984153747558594]
[100, 0.00041294097900390625]
[101, 0.00042128562927246094]
[102, 0.000415802001953125]
[103, 0.00043487548828125]
[104, 0.0004127025604248047]
[105, 0.0004374980926513672]
[106, 0.0004367828369140625]
[107, 0.0004482269287109375]
[108, 0.00045228004455566406]
[109, 0.00046133995056152344]
[110, 0.0004534721374511719]
[111, 0.0004687309265136719]
[112, 0.00048351287841796875]
[113, 0.00047206878662109375]
[114, 0.0004904270172119141]
[115, 0.0004858970642089844]
[116, 0.0004887580871582031]
[117, 0.0004839897155761719]
[118, 0.0005097389221191406]
[119, 0.0005211830139160156]
[120, 0.0005249977111816406]
[121, 0.0005352497100830078]
[122, 0.0005130767822265625]
[123, 0.0005397796630859375]
[124, 0.0005352497100830078]
[125, 0.0005333423614501953]
[126, 0.0005581378936767578]
[127, 0.0005481243133544922]
[128, 0.0005609989166259766]
[129, 0.0005719661712646484]
[130, 0.000576019287109375]
[131, 0.0005702972412109375]
